text,entities
"Responsible for developing and optimizing advanced IT solutions. Works with Encryption, Penetration Testing, Data Warehousing, Network Monitoring, SQL to ensure innovation, security, and efficiency. Expected to have experience in Reinforcement Learning, Firewalls, Swift, Wireless Security, Data Visualization.","[{'start': 76, 'end': 86, 'label': 'SKILL'}, {'start': 88, 'end': 107, 'label': 'SKILL'}, {'start': 109, 'end': 125, 'label': 'SKILL'}, {'start': 127, 'end': 145, 'label': 'SKILL'}, {'start': 147, 'end': 150, 'label': 'SKILL'}, {'start': 230, 'end': 252, 'label': 'SKILL'}, {'start': 254, 'end': 263, 'label': 'SKILL'}, {'start': 265, 'end': 270, 'label': 'SKILL'}, {'start': 272, 'end': 289, 'label': 'SKILL'}, {'start': 291, 'end': 309, 'label': 'SKILL'}]"
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",[]
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","[{'start': 72, 'end': 75, 'label': 'SKILL'}, {'start': 79, 'end': 81, 'label': 'SKILL'}]"
"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",[]
"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","[{'start': 35, 'end': 37, 'label': 'SKILL'}]"
"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",[]
"Responsible for developing and optimizing advanced IT solutions. Works with Microservices, Routing & Switching, Reinforcement Learning, Data Cleaning, Design Patterns to ensure innovation, security, and efficiency. Expected to have experience in Kubernetes, NoSQL, C++.","[{'start': 76, 'end': 89, 'label': 'SKILL'}, {'start': 91, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 134, 'label': 'SKILL'}, {'start': 136, 'end': 149, 'label': 'SKILL'}, {'start': 151, 'end': 166, 'label': 'SKILL'}, {'start': 246, 'end': 256, 'label': 'SKILL'}, {'start': 258, 'end': 263, 'label': 'SKILL'}, {'start': 265, 'end': 268, 'label': 'SKILL'}]"
"The Healthcare IT Specialist is responsible for designing, developing, and implementing innovative solutions that meet business needs. This role requires expertise in Python, PyTorch, TensorFlow, as well as proficiency in cloud computing, automation, and security best practices. Key expectations include collaborating with cross-functional teams, ensuring system reliability, optimizing performance, and staying ahead of emerging technology trends. Other responsibilities involve troubleshooting issues, improving workflows, documenting processes, and adhering to industry standards to enhance security and efficiency.","[{'start': 4, 'end': 28, 'label': 'JOB_TITLE'}, {'start': 167, 'end': 173, 'label': 'SKILL'}, {'start': 175, 'end': 182, 'label': 'SKILL'}, {'start': 184, 'end': 194, 'label': 'SKILL'}]"
"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




","[{'start': 48, 'end': 61, 'label': 'SKILL'}]"
"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",[]
