text,entities
"Responsible for designing, developing, and maintaining solutions. Works with Wireless Security, ETL, Docker, Firewalls, Python to improve system efficiency and functionality. Expected to have experience in Java, CI/CD, BigQuery, Reinforcement Learning.","[{'start': 77, 'end': 94, 'label': 'SKILL'}, {'start': 96, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 107, 'label': 'SKILL'}, {'start': 109, 'end': 118, 'label': 'SKILL'}, {'start': 120, 'end': 126, 'label': 'SKILL'}, {'start': 206, 'end': 210, 'label': 'SKILL'}, {'start': 212, 'end': 217, 'label': 'SKILL'}, {'start': 219, 'end': 227, 'label': 'SKILL'}, {'start': 229, 'end': 251, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Java, BigQuery, Cisco Networking, Reinforcement Learning, Deep Learning to ensure innovation, security, and efficiency. Expected to have experience in JavaScript, Docker, SCRUM.","[{'start': 76, 'end': 80, 'label': 'SKILL'}, {'start': 227, 'end': 231, 'label': 'SKILL'}, {'start': 82, 'end': 90, 'label': 'SKILL'}, {'start': 92, 'end': 108, 'label': 'SKILL'}, {'start': 110, 'end': 132, 'label': 'SKILL'}, {'start': 134, 'end': 147, 'label': 'SKILL'}, {'start': 227, 'end': 237, 'label': 'SKILL'}, {'start': 239, 'end': 245, 'label': 'SKILL'}, {'start': 247, 'end': 252, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Cisco Networking, Google Cloud, SCRUM, Firewalls, Microservices to enhance system performance and reliability. Expected to have experience in SIEM, Kubernetes, Ruby.","[{'start': 76, 'end': 92, 'label': 'SKILL'}, {'start': 94, 'end': 106, 'label': 'SKILL'}, {'start': 108, 'end': 113, 'label': 'SKILL'}, {'start': 115, 'end': 124, 'label': 'SKILL'}, {'start': 126, 'end': 139, 'label': 'SKILL'}, {'start': 218, 'end': 222, 'label': 'SKILL'}, {'start': 224, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 240, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with Agile, Routing & Switching, SCRUM, Scikit-learn, JavaScript to improve system efficiency and functionality. Expected to have experience in Firewalls, Microservices, Kubernetes, Network Monitoring.","[{'start': 77, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 103, 'label': 'SKILL'}, {'start': 105, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 124, 'label': 'SKILL'}, {'start': 126, 'end': 136, 'label': 'SKILL'}, {'start': 216, 'end': 225, 'label': 'SKILL'}, {'start': 227, 'end': 240, 'label': 'SKILL'}, {'start': 242, 'end': 252, 'label': 'SKILL'}, {'start': 254, 'end': 272, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Python, MLOps, Google Cloud, Risk Assessment, Design Patterns to ensure innovation, security, and efficiency. Expected to have experience in Firewalls, TCP/IP, SIEM, Terraform.","[{'start': 76, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 89, 'label': 'SKILL'}, {'start': 91, 'end': 103, 'label': 'SKILL'}, {'start': 105, 'end': 120, 'label': 'SKILL'}, {'start': 122, 'end': 137, 'label': 'SKILL'}, {'start': 217, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 240, 'label': 'SKILL'}, {'start': 242, 'end': 251, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with CI/CD, AWS, Version Control, Cisco Networking, Ansible to ensure innovation, security, and efficiency. Expected to have experience in Agile, Kubernetes, Swift, Data Visualization, SCRUM.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 86, 'label': 'SKILL'}, {'start': 88, 'end': 103, 'label': 'SKILL'}, {'start': 105, 'end': 121, 'label': 'SKILL'}, {'start': 123, 'end': 130, 'label': 'SKILL'}, {'start': 210, 'end': 215, 'label': 'SKILL'}, {'start': 217, 'end': 227, 'label': 'SKILL'}, {'start': 229, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 254, 'label': 'SKILL'}, {'start': 256, 'end': 261, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with TCP/IP, Cisco Networking, Docker, MLOps, Data Cleaning to enhance system performance and reliability. Expected to have experience in Penetration Testing, SQL, Network Monitoring, Go.","[{'start': 76, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 100, 'label': 'SKILL'}, {'start': 102, 'end': 108, 'label': 'SKILL'}, {'start': 110, 'end': 115, 'label': 'SKILL'}, {'start': 117, 'end': 130, 'label': 'SKILL'}, {'start': 209, 'end': 228, 'label': 'SKILL'}, {'start': 230, 'end': 233, 'label': 'SKILL'}, {'start': 235, 'end': 253, 'label': 'SKILL'}, {'start': 255, 'end': 257, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with Agile, Firewalls, Microservices, SIEM, Version Control to improve system efficiency and functionality. Expected to have experience in Python, Ruby, Deep Learning, CI/CD.","[{'start': 77, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 93, 'label': 'SKILL'}, {'start': 95, 'end': 108, 'label': 'SKILL'}, {'start': 110, 'end': 114, 'label': 'SKILL'}, {'start': 116, 'end': 131, 'label': 'SKILL'}, {'start': 211, 'end': 217, 'label': 'SKILL'}, {'start': 219, 'end': 223, 'label': 'SKILL'}, {'start': 225, 'end': 238, 'label': 'SKILL'}, {'start': 240, 'end': 245, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Microservices, BigQuery, Routing & Switching, Google Cloud, Reinforcement Learning to ensure innovation, security, and efficiency. Expected to have experience in PyTorch, Design Patterns, C++, Scikit-learn, SCRUM.","[{'start': 76, 'end': 89, 'label': 'SKILL'}, {'start': 91, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 120, 'label': 'SKILL'}, {'start': 122, 'end': 134, 'label': 'SKILL'}, {'start': 136, 'end': 158, 'label': 'SKILL'}, {'start': 238, 'end': 245, 'label': 'SKILL'}, {'start': 247, 'end': 262, 'label': 'SKILL'}, {'start': 264, 'end': 267, 'label': 'SKILL'}, {'start': 269, 'end': 281, 'label': 'SKILL'}, {'start': 283, 'end': 288, 'label': 'SKILL'}]"
"Responsible for designing and developing innovative IT solutions. Works with Ruby, TensorFlow, AWS, Data Warehousing, Network Monitoring to ensure efficiency, security, and performance. Expected to have experience in REST APIs, Google Cloud, Risk Assessment, Data Cleaning, SIEM.","[{'start': 77, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 93, 'label': 'SKILL'}, {'start': 95, 'end': 98, 'label': 'SKILL'}, {'start': 100, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 136, 'label': 'SKILL'}, {'start': 217, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 240, 'label': 'SKILL'}, {'start': 242, 'end': 257, 'label': 'SKILL'}, {'start': 259, 'end': 272, 'label': 'SKILL'}, {'start': 274, 'end': 278, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Network Monitoring, REST APIs, MLOps, Reinforcement Learning, C# to ensure innovation, security, and efficiency. Expected to have experience in SIEM, Wireless Security, Scikit-learn, Version Control.","[{'start': 76, 'end': 94, 'label': 'SKILL'}, {'start': 96, 'end': 105, 'label': 'SKILL'}, {'start': 107, 'end': 112, 'label': 'SKILL'}, {'start': 114, 'end': 136, 'label': 'SKILL'}, {'start': 138, 'end': 140, 'label': 'SKILL'}, {'start': 220, 'end': 224, 'label': 'SKILL'}, {'start': 226, 'end': 243, 'label': 'SKILL'}, {'start': 245, 'end': 257, 'label': 'SKILL'}, {'start': 259, 'end': 274, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with TCP/IP, Swift, Docker, Network Security, Java to enhance system performance and reliability. Expected to have experience in Deep Learning, CI/CD, SQL, Kotlin.","[{'start': 76, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 89, 'label': 'SKILL'}, {'start': 91, 'end': 97, 'label': 'SKILL'}, {'start': 99, 'end': 115, 'label': 'SKILL'}, {'start': 117, 'end': 121, 'label': 'SKILL'}, {'start': 200, 'end': 213, 'label': 'SKILL'}, {'start': 215, 'end': 220, 'label': 'SKILL'}, {'start': 222, 'end': 225, 'label': 'SKILL'}, {'start': 227, 'end': 233, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with SCRUM, Java, REST APIs, Terraform, Ansible to improve system efficiency and functionality. Expected to have experience in Deep Learning, Go, NoSQL.","[{'start': 77, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 88, 'label': 'SKILL'}, {'start': 90, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 119, 'label': 'SKILL'}, {'start': 199, 'end': 212, 'label': 'SKILL'}, {'start': 214, 'end': 216, 'label': 'SKILL'}, {'start': 218, 'end': 223, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Azure, Agile, TensorFlow, Encryption, Google Cloud to enhance system performance and reliability. Expected to have experience in PyTorch, Routing & Switching, JavaScript, Firewalls, Rust.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 88, 'label': 'SKILL'}, {'start': 90, 'end': 100, 'label': 'SKILL'}, {'start': 102, 'end': 112, 'label': 'SKILL'}, {'start': 114, 'end': 126, 'label': 'SKILL'}, {'start': 205, 'end': 212, 'label': 'SKILL'}, {'start': 214, 'end': 233, 'label': 'SKILL'}, {'start': 235, 'end': 245, 'label': 'SKILL'}, {'start': 247, 'end': 256, 'label': 'SKILL'}, {'start': 258, 'end': 262, 'label': 'SKILL'}]"
